Survey Year,Team,State,Players,Operating Expenses per Participant,Operating Expenses,Total Revenues,Total Expenses,Net Revenue
2015,Appalachian State University,NC,113,12702,1435326,6630031,6630031,0
2015,Arizona State University-Tempe,AZ,125,36705,4588098,42892151,26601767,16290384
2015,Arkansas State University-Main Campus,AR,128,14383,1841037,6864360,6864360,0
2015,Auburn University,AL,121,35140,4251940,92537433,41896336,50641097
2015,Ball State University,IN,116,10942,1269288,7220032,7220032,0
2015,Baylor,TX,120,33577,4029214,38305937,29544710,8761227
2015,Boise State University,ID,114,24035,2740037,20321986,9712566,10609420
2015,Boston College,MA,100,47507,4750691,26991209,21347885,5643324
2015,Bowling Green State University-Main Campus,OH,106,8282,877843,6754237,6754237,0
2015,Brigham Young University-Provo,UT,134,15343,2056012,25469619,16627703,8841916
2015,California State University-Fresno,CA,114,23115,2635137,11381458,11381458,0
2015,Central Michigan University,MI,115,12091,1390430,6274563,6274563,0
2015,Clemson,SC,117,80824,9456361,45930086,34668941,11261145
2015,Colorado State University-Fort Collins,CO,120,17689,2122724,13446340,13446340,0
2015,Duke University,NC,114,18859,2149965,31795916,23468721,8327195
2015,East Carolina University,NC,127,20773,2638234,12264915,11609147,655768
2015,Eastern Michigan University,MI,122,8638,1053818,7365900,7365948,-48
2015,Florida Atlantic University,FL,136,10858,1476725,7817872,7704431,113441
2015,Florida International University,FL,101,15491,1564606,9454845,7405444,2049401
2015,Florida State,FL,117,56371,6595397,55708828,42457103,13251725
2015,Georgia Institute of Technology-Main Campus,GA,119,27603,3284736,43605746,17375756,26229990
2015,Georgia Southern University,GA,128,7044,901668,7799526,5178378,2621148
2015,Georgia State University,GA,123,13356,1642727,6237189,6237189,0
2015,Indiana University-Bloomington,IN,129,38394,4952859,35213709,24233472,10980237
2015,Iowa State University,IA,135,26082,3521020,41789111,22764523,19024588
2015,Kansas State University,KS,125,24295,3036847,38447972,18361189,20086783
2015,Kent State University at Kent,OH,103,13165,1356012,6139482,6139482,0
2015,LSU,LA,120,33255,3990545,85741919,30463660,55278259
2015,Louisiana Tech University,LA,101,13857,1399579,7571143,7448192,122951
2015,Marshall University,WV,114,13795,1572580,9277508,8855865,421643
2015,Miami University-Oxford,OH,113,12345,1395035,7613028,7613028,0
2015,Michigan State,MI,120,46093,5531189,64661163,31978126,32683037
2015,Middle Tennessee State University,TN,140,12469,1745682,10167835,10167835,0
2015,Mississippi State University,MS,125,29984,3748007,35471847,22311861,13159986
2015,New Mexico State University-Main Campus,NM,108,19162,2069532,7141189,7141189,0
2015,North Carolina Central University,NC,143,4718,674652,3589028,3587178,1850
2015,North Carolina State University at Raleigh,NC,118,14213,1677172,39539832,19194988,20344844
2015,Northern Illinois University,IL,114,16998,1937783,9202985,9202985,0
2015,Northwestern,IL,107,36436,3898646,36212907,24629741,11583166
2015,Ohio State,OH,128,66494,8511260,86646061,37378146,49267915
2015,Ohio University-Main Campus,OH,120,9358,1122958,9616278,9037911,578367
2015,Oklahoma State,OK,135,16720,2257133,47760618,19445963,28314655
2015,Old Dominion University,VA,116,20795,2412182,9634722,9634722,0
2015,Oregon State University,OR,109,26823,2923740,32941918,15745809,17196109
2015,Pennsylvania State University-Main Campus,PA,128,66270,8482572,75462597,36163151,39299446
2015,Purdue University-Main Campus,IN,108,24276,2621757,18681315,16885714,1795601
2015,Rice University,TX,108,12034,1299650,11650472,11650472,0
2015,Rutgers University-New Brunswick,NJ,122,51043,6227301,25236282,25236282,0
2015,San Diego State University,CA,123,19163,2357073,14253337,14133825,119512
2015,San Jose State University,CA,98,26191,2566766,8098929,8098929,0
2015,Southern Methodist University,TX,117,15253,1784631,17267570,17267570,0
2015,Stanford,CA,100,49140,4913994,43744639,23724407,20020232
2015,Syracuse University,NY,110,26070,2867701,38152217,23219794,14932423
2015,Temple,PA,125,30237,3779565,18842502,18842502,0
2015,Texas A & M University-College Station,TX,129,34143,4404508,73700887,29945769,43755118
2015,TCU,TX,126,39857,5021989,52009661,33471085,18538576
2015,Texas State University,TX,120,17896,2147479,7457817,7457817,0
2015,Texas Tech University,TX,120,29392,3527066,42485160,18039499,24445661
2015,Alabama,AL,135,53499,7222432,103870999,56214376,47656623
2015,Tennessee,TN,126,30127,3795968,107103765,28158835,78944930
2015,The University of Texas at Austin,TX,117,56380,6596425,127465311,30268826,97196485
2015,The University of Texas at El Paso,TX,119,21168,2518979,11636472,9205444,2431028
2015,The University of Texas at San Antonio,TX,119,10575,1258392,8782297,8782297,0
2015,Troy University,AL,126,6541,824138,7534913,5916308,1618605
2015,Tulane University of Louisiana,LA,104,25645,2667051,3215000,12855742,-9640742
2015,University at Buffalo,NY,108,12937,1397229,7539610,7539610,0
2015,University of Akron Main Campus,OH,105,13421,1409221,7473209,7473209,0
2015,University of Arizona,AZ,117,34906,4083969,41388363,21399664,19988699
2015,University of Arkansas,AR,120,55796,6695472,68970599,34237143,34733456
2015,University of California-Berkeley,CA,154,35898,5528271,41527030,22079265,19447765
2015,University of California-Los Angeles,CA,110,70209,7722965,38548482,26735958,11812524
2015,University of Central Florida,FL,132,35145,4639130,22377609,19254214,3123395
2015,University of Cincinnati-Main Campus,OH,119,19834,2360297,13848429,13848429,0
2015,University of Colorado Boulder,CO,111,37506,4163134,37544684,18372291,19172393
2015,University of Connecticut,CT,105,51424,5399551,17673179,16781226,891953
2015,Florida,FL,119,72327,8606930,83761070,32048390,51712680
2015,University of Georgia,GA,133,52084,6927108,87613126,38884925,48728201
2015,University of Hawaii at Manoa,HI,108,27776,2999832,11979786,11979786,0
2015,Houston,TX,117,27064,3166500,16180918,16180918,0
2015,University of Idaho,ID,101,17268,1744118,6913838,6561109,352729
2015,University of Illinois at Urbana-Champaign,IL,123,18249,2244640,32910979,18242712,14668267
2015,Iowa,IA,117,48762,5705156,56551411,30150836,26400575
2015,University of Kansas,KS,114,23007,2622789,30245133,14011838,16233295
2015,University of Kentucky,KY,123,20161,2479793,39714834,22309964,17404870
2015,University of Louisiana at Lafayette,LA,125,14979,1872348,7424084,7424084,0
2015,University of Louisiana at Monroe,LA,110,12612,1387330,5158578,5158578,0
2015,University of Louisville,KY,119,40462,4814966,40568726,23428841,17139885
2015,University of Maryland-College Park,MD,117,14399,1684664,30071434,20779161,9292273
2015,University of Massachusetts-Amherst,MA,123,16427,2020487,8556416,8556416,0
2015,University of Memphis,TN,105,26311,2762607,14814121,14814121,0
2015,University of Miami,FL,116,38957,4519052,34217378,28467129,5750249
2015,University of Michigan,MI,125,46405,5800672,97149706,36597583,60552123
2015,University of Minnesota-Twin Cities,MN,119,42636,5073658,49363392,25542759,23820633
2015,Ole Miss,MS,118,44088,5202386,56823049,29500677,27322372
2015,University of Missouri-Columbia,MO,130,25052,3256780,30358216,21061689,9296527
2015,University of Nebraska-Lincoln,NE,138,30349,4188204,65012080,27493962,37518118
2015,University of Nevada-Las Vegas,NV,104,18464,1920266,9359657,9359657,0
2015,University of Nevada-Reno,NV,126,17109,2155794,9736900,7608249,2128651
2015,University of New Mexico-Main Campus,NM,118,18732,2210429,9137178,9137178,0
2015,North Carolina,NC,125,40812,5101494,40523499,23461114,17062385
2015,University of North Carolina at Charlotte,NC,124,12861,1594775,8362740,8362740,0
2015,University of North Texas,TX,105,17019,1786972,12763221,8417458,4345763
2015,Notre Dame,IN,119,54342,6466666,98532894,38971302,59561592
2015,Oklahoma,OK,118,60893,7185428,94142098,35854266,58287832
2015,Oregon,OR,107,41240,4412635,66576139,23768207,42807932
2015,University of Pittsburgh-Pittsburgh Campus,PA,116,33309,3863835,34336998,23129559,11207439
2015,University of South Alabama,AL,121,13006,1573745,9066874,9351047,-284173
2015,University of South Carolina,SC,112,24198,2710162,59629815,29970031,29659784
2015,University of South Florida-Main Campus,FL,113,26384,2981339,9779081,12871984,-3092903
2015,Southern Cal,CA,109,97649,10643688,51240237,31186065,20054172
2015,University of Southern Mississippi,MS,123,17327,2131172,8642689,8642689,0
2015,University of Toledo,OH,125,18542,2317702,9313584,9313584,0
2015,University of Tulsa,OK,124,14457,1792611,13090492,13090492,0
2015,Utah,UT,114,40785,4649504,47685530,22044668,25640862
2015,University of Virginia-Main Campus,VA,113,31462,3555151,27931475,20333481,7597994
2015,University of Washington-Seattle Campus,WA,114,75026,8552922,69134064,31811117,37322947
2015,University of Wisconsin-Madison,WI,117,37604,4399614,71220684,30731315,40489369
