Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2014,197869,Appalachian State University,NC,1,,1,NCAA,7125,8113,15238,7,Football,110,,,,110,0,8484,933229,0,0,933229,,,,,,5947165,,5947165,,,,5947165,0,5947165,5947165,,5947165,,,,5947165,0,5947165
2014,104151,Arizona State University-Tempe,AZ,1,,1,NCAA,20019,15751,35770,7,Football,121,,,,121,0,62414,7552151,0,0,7552151,,,,,,49016140,,49016140,,,,49016140,0,49016140,28083384,,28083384,,,,28083384,0,28083384
2014,106458,Arkansas State University-Main Campus,AR,1,,1,NCAA,3251,4151,7402,7,Football,122,,,,122,0,12811,1562898,0,0,1562898,,,,,,6501109,,6501109,,,,6501109,0,6501109,6501109,,6501109,,,,6501109,0,6501109
2014,100858,Auburn University,AL,1,,1,NCAA,9357,9389,18746,7,Football,122,,,,122,0,35648,4349056,0,0,4349056,,,,,,86742256,,86742256,,,,86742256,0,86742256,40077352,,40077352,,,,40077352,0,40077352
2014,150136,Ball State University,IN,1,,1,NCAA,6234,8679,14913,7,Football,119,,,,119,0,13666,1626207,0,0,1626207,,,,,,7061205,,7061205,,,,7061205,0,7061205,7061205,,7061205,,,,7061205,0,7061205
2014,223232,Baylor University,TX,1,,1,NCAA,5685,7892,13577,7,Football,113,,,,113,0,46448,5248575,0,0,5248575,,,,,,35575376,,35575376,,,,35575376,0,35575376,28433715,,28433715,,,,28433715,0,28433715
2014,142115,Boise State University,ID,1,,1,NCAA,5893,6231,12124,7,Football,107,,,,107,0,26426,2827603,0,0,2827603,,,,,,20206989,,20206989,,,,20206989,0,20206989,8839739,,8839739,,,,8839739,0,8839739
2014,164924,Boston College,MA,1,,1,NCAA,4313,5032,9345,7,Football,93,,,,93,0,53910,5013592,0,0,5013592,,,,,,27232643,,27232643,,,,27232643,0,27232643,21853965,,21853965,,,,21853965,0,21853965
2014,201441,Bowling Green State University-Main Campus,OH,1,,1,NCAA,5572,7329,12901,7,Football,104,,,,104,0,12741,1325101,0,0,1325101,,,,,,6574521,,6574521,,,,6574521,0,6574521,6574467,,6574467,,,,6574467,0,6574467
2014,230038,Brigham Young University-Provo,UT,1,,1,NCAA,13309,11190,24499,7,Football,128,,,,128,0,22258,2849014,0,0,2849014,,,,,,19902453,,19902453,,,,19902453,0,19902453,14634364,,14634364,,,,14634364,0,14634364
2014,110556,California State University-Fresno,CA,1,,1,NCAA,7401,10317,17718,7,Football,112,,,,112,0,27488,3078693,0,0,3078693,,,,,,13552228,,13552228,,,,13552228,0,13552228,10980347,,10980347,,,,10980347,0,10980347
2014,169248,Central Michigan University,MI,1,,1,NCAA,7904,9956,17860,7,Football,115,,,,115,0,15079,1734074,0,0,1734074,,,,,,6971102,,6971102,,,,6971102,0,6971102,6971102,,6971102,,,,6971102,0,6971102
2014,217882,Clemson University,SC,1,,1,NCAA,8787,7742,16529,7,Football,115,,,,115,0,40264,4630343,0,0,4630343,,,,,,43959747,,43959747,,,,43959747,0,43959747,24191774,,24191774,,,,24191774,0,24191774
2014,126818,Colorado State University-Fort Collins,CO,1,,1,NCAA,9571,10561,20132,7,Football,116,,,,116,0,26006,3016695,0,0,3016695,,,,,,13002269,,13002269,,,,13002269,0,13002269,13002269,,13002269,,,,13002269,0,13002269
2014,198419,Duke University,NC,1,,1,NCAA,3257,3214,6471,7,Football,114,,,,114,0,29762,3392912,0,0,3392912,,,,,,32407399,,32407399,,,,32407399,0,32407399,22915934,,22915934,,,,22915934,0,22915934
2014,198464,East Carolina University,NC,1,,1,NCAA,7862,10934,18796,7,Football,126,,,,126,0,28388,3576933,0,0,3576933,,,,,,12299240,,12299240,,,,12299240,0,12299240,11355294,,11355294,,,,11355294,0,11355294
2014,169798,Eastern Michigan University,MI,1,,1,NCAA,5288,7650,12938,7,Football,107,,,,107,0,8764,937703,0,0,937703,,,,,,6291437,,6291437,,,,6291437,0,6291437,6259439,,6259439,,,,6259439,0,6259439
2014,133669,Florida Atlantic University,FL,1,,1,NCAA,6783,8395,15178,7,Football,115,,,,115,0,15948,1834045,0,0,1834045,,,,,,7659353,,7659353,,,,7659353,0,7659353,7628818,,7628818,,,,7628818,0,7628818
2014,133951,Florida International University,FL,1,,1,NCAA,11095,14245,25340,7,Football,101,,,,101,0,15487,1564204,0,0,1564204,,,,,,9157416,,9157416,,,,9157416,0,9157416,9157416,,9157416,,,,9157416,0,9157416
2014,134097,Florida State University,FL,1,,1,NCAA,12722,16211,28933,7,Football,120,,,,120,0,89909,10789051,0,0,10789051,,,,,,70321194,,70321194,,,,70321194,0,70321194,31299768,,31299768,,,,31299768,0,31299768
2014,139755,Georgia Institute of Technology-Main Campus,GA,1,,1,NCAA,8634,4516,13150,7,Football,116,,,,116,0,39777,4614135,0,0,4614135,,,,,,41124340,,41124340,,,,41124340,0,41124340,19682945,,19682945,,,,19682945,0,19682945
2014,139931,Georgia Southern University,GA,1,,1,NCAA,7891,7902,15793,7,Football,135,,,,135,0,6808,919084,0,0,919084,,,,,,4777968,,4777968,,,,4777968,0,4777968,4777968,,4777968,,,,4777968,0,4777968
2014,139940,Georgia State University,GA,1,,1,NCAA,7709,11130,18839,7,Football,125,,,,125,0,19332,2416441,0,0,2416441,,,,,,6664116,,6664116,,,,6664116,0,6664116,6664116,,6664116,,,,6664116,0,6664116
